V=video Storage, e=externo, -=sin video

- frog-jumps                                     Saltos de rana
- frog-pumps-dumbbell                            Empuje de glúteo rana (Mancuerna)
- front-lever-hold                               Front lever isométrico
- front-lever-raise                              Elevación a front lever
V front-raise-band                               Elevación frontal (Banda)
V front-raise-barbell                            Elevación frontal (Barra)
- front-raise-cable                              Elevación frontal (Polea)
V front-raise-dumbbell                           Elevación frontal (Mancuerna)
- front-raise-suspension                         Elevación frontal (TRX)
V front-squat                                    Sentadilla frontal
V glute-bridge                                   Puente de glúteo
V glute-ham-raise                                Elevación de glúteo e isquiotibial (GHR)
V glute-kickback-machine                         Patada de glúteo (Máquina)
- glute-kickback-on-floor                        Patada de glúteo en el suelo
- good-morning-barbell                           Buenos días (Barra)
V gorilla-row-kettlebell                         Remo gorila (Pesa rusa)
V hack-squat-machine                             Sentadilla hack (Máquina)
- hammer-curl-band                               Curl martillo (Banda)
V hammer-curl-cable                              Curl martillo (Polea)
V hammer-curl-dumbbell                           Curl martillo (Mancuerna)
- handstand-hold                                 Parada de manos isométrica
- handstand-push-up                              Flexión en parada de manos
- hang-clean                                     Cargada colgante
- hang-snatch                                    Arranque colgante
V hanging-leg-raise                              Elevación de piernas colgado
- heel-taps                                      Toques de talón
- hex-press-dumbbell                             Press hex (Mancuerna)
- high-knee-skips                                Skipping alto con salto
- high-knees                                     Rodillas altas
- hiit                                           HIIT
- hiking                                         Senderismo
V hip-abduction-machine                          Abducción de cadera (Máquina)
V hip-adduction-machine                          Aducción de cadera (Máquina)
V hip-thrust-barbell                             Empuje de cadera (Barra)
V hip-thrust-machine                             Empuje de cadera (Máquina)
- hip-thrust-smith-machine                       Empuje de cadera (Multipower)
- hollow-rock                                    Hollow rock (Balanceo en hueco)
V incline-bench-press-barbell                    Press de banca inclinado (Barra)
V incline-bench-press-dumbbell                   Press de banca inclinado (Mancuerna)
- incline-bench-press-smith-machine              Press de banca inclinado (Multipower)
V incline-chest-fly-dumbbell                     Apertura inclinada (Mancuerna)
- incline-chest-press-machine                    Press de pecho inclinado (Máquina)
V incline-dumbbell-press                         Press inclinado con mancuernas
- incline-push-ups                               Flexiones inclinadas
- inverted-row                                   Remo invertido
- iso-lateral-chest-press-machine                Press de pecho isolateral (Máquina)
- iso-lateral-high-row-machine                   Remo alto isolateral (Máquina)
- iso-lateral-low-row                            Remo bajo isolateral
- iso-lateral-row-machine                        Remo isolateral (Máquina)
- jack-knife-suspension                          Navaja (TRX)
- jackknife-sit-up                               Abdominal navaja
- jm-press-barbell                               Press JM (Barra)
V jump-rope                                      Saltar la cuerda
- jump-shrug                                     Encogimiento con salto
V jump-squat                                     Sentadilla con salto
V jumping-jack                                   Saltos de tijera (Jumping jack)
- jumping-lunge                                  Estocada con salto
- kettlebell-around-the-world                    Círculos con pesa rusa
- kettlebell-clean                               Cargada con pesa rusa
V kettlebell-curl                                Curl con pesa rusa
V kettlebell-goblet-squat                        Sentadilla goblet (Pesa rusa)
- kettlebell-halo                                Halo con pesa rusa
- kettlebell-high-pull                           Tirón alto con pesa rusa
- kettlebell-shoulder-press                      Press de hombros con pesa rusa
- kettlebell-snatch                              Arranque con pesa rusa
V kettlebell-swing                               Swing con pesa rusa
- kettlebell-turkish-get-up                      Levantada turca con pesa rusa
- kipping-pull-up                                Dominada kipping
- knee-raise-parallel-bars                       Elevación de rodillas en paralelas
V kneeling-pulldown-band                         Jalón arrodillado (Banda)
- kneeling-push-up                               Flexión de rodillas
- l-sit-hold                                     L-sit isométrico
- landmine-180                                   Landmine 180
V landmine-row                                   Remo landmine
- landmine-squat-and-press                       Sentadilla y press landmine
- lat-pulldown-band                              Jalón al pecho (Banda)
- lat-pulldown-cable                             Jalón al pecho (Polea)
- lat-pulldown-close-grip-cable                  Jalón al pecho agarre cerrado (Polea)
V lat-pulldown-machine                           Jalón al pecho (Máquina)
- lateral-band-walks                             Caminata lateral con banda
