exercise_id,name,proposed_equipment,proposed_video
bench-dip,Fondo en banco,peso_corporal,female-Bodyweight-bench-dips-side.mp4
farmers-walk,Caminata del granjero,mancuerna,female-Dumbbells-dumbbell-farmer-walk-side.mp4
jumping-jack,Saltos de tijera (Jumping jack),cardio,female-Cardio-cardio-jumping-jacks-side.mp4
nordic-hamstrings-curls,Curl nórdico de isquiotibiales,peso_corporal,female-Bodyweight-nordic-hamstring-curl-side.mp4
triceps-pushdown,Empuje de tríceps,maquina,female-Machine-machine-tricep-pushdown-side.mp4
