exercise_id,exercise_name,source,confidence,score,recommended_video,drive_file_id,drive_url,folder,matched_variants,reason
jump-rope,Saltar la cuerda,catalog-json,high,1.000,female-Cardio-jump-rope-side.mp4,1LM4OfghijyXIxaSuEVtKekcArcBcNrKG,https://drive.google.com/file/d/1LM4OfghijyXIxaSuEVtKekcArcBcNrKG/view?usp=drive_web,Cardio,4,video_clean:id
jump-squat,Sentadilla con salto,catalog-json,high,1.000,female-trx-jump-squat-side.mp4,1o00KYAYi2rQbYWz3ZU5cEpriZXllqrfX,https://drive.google.com/file/d/1o00KYAYi2rQbYWz3ZU5cEpriZXllqrfX/view?usp=drive_web,TRX,4,video_clean:id
landmine-row,Remo landmine,catalog-json,high,1.000,female-barbell-landmine-row-side.mp4,15WZJEzcenmjbpqZlbPsEWoe6WXmfxKzA,https://drive.google.com/file/d/15WZJEzcenmjbpqZlbPsEWoe6WXmfxKzA/view?usp=drive_web,Barbell,4,video_clean:id
lateral-lunge,Estocada lateral,catalog-json,high,1.000,female-barbell-lateral-lunge-side.mp4,1IyVqU2EST15iJRt_bR1OaJqZKHfYuDuD,https://drive.google.com/file/d/1IyVqU2EST15iJRt_bR1OaJqZKHfYuDuD/view?usp=drive_web,Barbell,28,video_clean:id
lateral-raise,Elevaciones laterales,seed,high,1.000,female-Dumbbells-dumbbell-lateral-raise-side.mp4,1tOEMYySRjF1yb03nVUdUO7jw7tjsvAta,https://drive.google.com/file/d/1tOEMYySRjF1yb03nVUdUO7jw7tjsvAta/view?usp=drive_web,Dumbbells,28,video_clean:id
leg-extension,Extensión de cuádriceps,seed,high,1.000,female-machine-leg-extension-side.mp4,13paaTJt8G_7qHiMY-frNqsU7QNjRJWL2,https://drive.google.com/file/d/13paaTJt8G_7qHiMY-frNqsU7QNjRJWL2/view?usp=drive_web,Machine,20,video_clean:id
leg-press,Prensa de piernas,seed,high,1.000,female-Machine-machine-leg-press-side.mp4,1efREYF4txExuAsgcUCN3qyL0CHMVtS_s,https://drive.google.com/file/d/1efREYF4txExuAsgcUCN3qyL0CHMVtS_s/view?usp=drive_web,Machine,8,video_clean:id
mountain-climber,Escalador (Mountain climber),catalog-json,high,1.000,female-bodyweight-mountain-climber-side.mp4,1mB-P0cfFxu1JshY6NNuP8ljyqd8I5hLx,https://drive.google.com/file/d/1mB-P0cfFxu1JshY6NNuP8ljyqd8I5hLx/view?usp=drive_web,Bodyweight,8,video_clean:id
oblique-crunch,Crunch oblicuo,catalog-json,high,1.000,female-Bodyweight-oblique-crunch-side.mp4,1ccrKr5nJEHATS1it22d_GbEppRNLm3SD,https://drive.google.com/file/d/1ccrKr5nJEHATS1it22d_GbEppRNLm3SD/view?usp=drive_web,Bodyweight,8,video_clean:id
overhead-press,Press militar,seed,high,1.000,female-Barbell-barbell-overhead-press-side.mp4,1w9zNM1BYUQESlKj2sHku1aDY75P3lROS,https://drive.google.com/file/d/1w9zNM1BYUQESlKj2sHku1aDY75P3lROS/view?usp=drive_web,Barbell,26,video_clean:id
overhead-squat,Sentadilla sobre la cabeza,catalog-json,high,1.000,female-dumbbell-overhead-squat-side.mp4,1RshswhG3Db5iEEvQ_bca5SqhxXWZiXBG,https://drive.google.com/file/d/1RshswhG3Db5iEEvQ_bca5SqhxXWZiXBG/view?usp=drive_web,Dumbbells,12,video_clean:id
pike-pushup,Flexión pike,catalog-json,high,1.000,female-Bosu-Ball-bosu-ball-pike-pushup-side.mp4,1RBbhbajoHGI6mRniZpOON5AA55IUri7s,https://drive.google.com/file/d/1RBbhbajoHGI6mRniZpOON5AA55IUri7s/view?usp=drive_web,Bosu-Ball,4,video_clean:id
power-snatch,Arranque de potencia,catalog-json,high,1.000,female-Barbell-barbell-power-snatch-side.mp4,1MKaJdZKgf-R0zGyC27GXX1pa0wPK1Mg5,https://drive.google.com/file/d/1MKaJdZKgf-R0zGyC27GXX1pa0wPK1Mg5/view?usp=drive_web,Barbell,4,video_clean:id
push-press,Push press,catalog-json,high,1.000,female-Dumbbells-dumbbell-push-press-side.mp4,1rkJrjJFv7Dlf5JIuZDsT3W3Mbqr8u6HM,https://drive.google.com/file/d/1rkJrjJFv7Dlf5JIuZDsT3W3Mbqr8u6HM/view?usp=drive_web,Dumbbells,8,video_clean:id
push-up,Flexión,catalog-json,high,1.000,female-Bodyweight-push-up-side.mp4,1I-kuAxa0vjT5PWYTvarko6mPrdJYKIM7,https://drive.google.com/file/d/1I-kuAxa0vjT5PWYTvarko6mPrdJYKIM7/view?usp=drive_web,Bodyweight,8,video_clean:id
rack-pull,Rack pull (Peso muerto parcial),catalog-json,high,1.000,female-Barbell-barbell-rack-pull-side.mp4,186HtXUqhA3X8_OVjZhOMBZMNd_gdmT_R,https://drive.google.com/file/d/186HtXUqhA3X8_OVjZhOMBZMNd_gdmT_R/view?usp=drive_web,Barbell,4,video_clean:id
