family,count,classification,action,equipment_groups,same_equipment_groups,ids,names,sources
lying-neck-curls,2,review_same_equipment_duplicates,manual_review_same_equipment,unknown:lying-neck-curls|lying-neck-curls-weighted,unknown:lying-neck-curls|lying-neck-curls-weighted,lying-neck-curls|lying-neck-curls-weighted,Lying Neck Curls|Lying Neck Curls (Weighted),catalog-json
lying-neck-extension,2,review_same_equipment_duplicates,manual_review_same_equipment,unknown:lying-neck-extension|lying-neck-extension-weighted,unknown:lying-neck-extension|lying-neck-extension-weighted,lying-neck-extension|lying-neck-extension-weighted,Lying Neck Extension|Lying Neck Extension (Weighted),catalog-json
pullover,2,valid_equipment_variants,keep_as_variants,mancuerna:pullover-dumbbell; maquina:pullover-machine,,pullover-dumbbell|pullover-machine,Pullover (Dumbbell)|Pullover (Machine),catalog-json
push-up,2,review_same_equipment_duplicates,manual_review_same_equipment,unknown:push-up|push-up-weighted,unknown:push-up|push-up-weighted,push-up|push-up-weighted,Push Up|Push Up (Weighted),catalog-json
romanian-deadlift,2,valid_equipment_variants,keep_as_variants,barra:romanian-deadlift-barbell; mancuerna:romanian-deadlift-dumbbell,,romanian-deadlift-barbell|romanian-deadlift-dumbbell,Romanian Deadlift (Barbell)|Romanian Deadlift (Dumbbell),catalog-json
russian-twist,2,review_generic_or_missing_equipment,decide_default_variant_or_fill_equipment,peso_corporal:russian-twist-bodyweight; unknown:russian-twist-weighted,,russian-twist-bodyweight|russian-twist-weighted,Russian Twist (Bodyweight)|Russian Twist (Weighted),catalog-json
seated-overhead-press,2,valid_equipment_variants,keep_as_variants,barra:seated-overhead-press-barbell; mancuerna:seated-overhead-press-dumbbell,,seated-overhead-press-barbell|seated-overhead-press-dumbbell,Seated Overhead Press (Barbell)|Seated Overhead Press (Dumbbell),catalog-json
shoulder-press,2,valid_equipment_variants,keep_as_variants,mancuerna:shoulder-press-dumbbell; maquina:shoulder-press-machine-plates,,shoulder-press-dumbbell|shoulder-press-machine-plates,Shoulder Press (Dumbbell)|Shoulder Press (Machine Plates),catalog-json
side-bend,2,review_generic_or_missing_equipment,decide_default_variant_or_fill_equipment,unknown:side-bend; mancuerna:side-bend-dumbbell,,side-bend|side-bend-dumbbell,Side Bend|Side Bend (Dumbbell),catalog-json
single-leg-hip-thrust,2,review_generic_or_missing_equipment,decide_default_variant_or_fill_equipment,unknown:single-leg-hip-thrust; mancuerna:single-leg-hip-thrust-dumbbell,,single-leg-hip-thrust|single-leg-hip-thrust-dumbbell,Single Leg Hip Thrust|Single Leg Hip Thrust (Dumbbell),catalog-json
single-leg-romanian-deadlift,2,valid_equipment_variants,keep_as_variants,barra:single-leg-romanian-deadlift-barbell; mancuerna:single-leg-romanian-deadlift-dumbbell,,single-leg-romanian-deadlift-barbell|single-leg-romanian-deadlift-dumbbell,Single Leg Romanian Deadlift (Barbell)|Single Leg Romanian Deadlift (Dumbbell),catalog-json
sit-up,2,review_same_equipment_duplicates,manual_review_same_equipment,unknown:sit-up|sit-up-weighted,unknown:sit-up|sit-up-weighted,sit-up|sit-up-weighted,Sit Up|Sit Up (Weighted),catalog-json
skullcrusher,2,valid_equipment_variants,keep_as_variants,barra:skullcrusher-barbell; mancuerna:skullcrusher-dumbbell,,skullcrusher-barbell|skullcrusher-dumbbell,Skullcrusher (Barbell)|Skullcrusher (Dumbbell),catalog-json
spider-curl,2,valid_equipment_variants,keep_as_variants,barra:spider-curl-barbell; mancuerna:spider-curl-dumbbell,,spider-curl-barbell|spider-curl-dumbbell,Spider Curl (Barbell)|Spider Curl (Dumbbell),catalog-json
stair-machine,2,review_same_equipment_duplicates,manual_review_same_equipment,maquina:stair-machine-floors|stair-machine-steps,maquina:stair-machine-floors|stair-machine-steps,stair-machine-floors|stair-machine-steps,Stair Machine (Floors)|Stair Machine (Steps),catalog-json
thruster,2,valid_equipment_variants,keep_as_variants,barra:thruster-barbell; otro:thruster-kettlebell,,thruster-barbell|thruster-kettlebell,Thruster (Barbell)|Thruster (Kettlebell),catalog-json
triceps-kickback,2,valid_equipment_variants,keep_as_variants,cable:triceps-kickback-cable; mancuerna:triceps-kickback-dumbbell,,triceps-kickback-cable|triceps-kickback-dumbbell,Triceps Kickback (Cable)|Triceps Kickback (Dumbbell),catalog-json
walking-lunge,2,review_generic_or_missing_equipment,decide_default_variant_or_fill_equipment,unknown:walking-lunge; mancuerna:walking-lunge-dumbbell,,walking-lunge|walking-lunge-dumbbell,Walking Lunge|Walking Lunge (Dumbbell),catalog-json
